year,title,author,cover_image
2000,Anil's Ghost,Michael Ondaatje,http://books.google.com/books/content?id=hY0Fj-xqnpsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2000,No Great Mischief,Alistair MacLeod,http://books.google.com/books/content?id=daf-3NN4_kYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2000,A Good House,Bonnie Burnard,http://books.google.com/books/content?id=XFEnBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2000,The Blind Assassin,Margaret Atwood,http://books.google.com/books/content?id=8KF3LiA1nD4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2000,Island: The Collected Stories,Alistair MacLeod,http://books.google.com/books/content?id=etXxxduAleIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2000,Mercy Among the Children,David Adams Richards,http://books.google.com/books/content?id=cjuCDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2000,Pilgrim,Timothy Findley,http://books.google.com/books/content?id=xKmDFRVwWEUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2000,A Good House,Bonnie Burnard,http://books.google.com/books/content?id=XFEnBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2000,Pilgrim,Timothy Findley,http://books.google.com/books/content?id=xKmDFRVwWEUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2000,The Colony of Unrequited Dreams,Wayne Johnston,http://books.google.com/books/content?id=p6tshJVvG6oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2000,Trudeau Albums,Sara Borins,http://books.google.com/books/content?id=3ZbQAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
2000,No Logo: Taking Aim at the Brand Bullies,Naomi Klein,http://books.google.com/books/content?id=Yq_WAUXqRAEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2000,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,http://books.google.com/books/content?id=yBDBEGBIUmgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2000,Canada: A People's History Volume One,"Don Gillmor, Pierre Turgeon",http://books.google.com/books/content?id=h6kRAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
2000,Star-Spangled Canadians: Canadians Living the American Dream,Jeffrey Simpson,http://books.google.com/books/content?id=CGYaAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
2000,The Nature of Economies,Jane Jacobs,http://books.google.com/books/content?id=cCeorIlLMzYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2000,Canada: Our Century,"Mark Kingwell, Christopher Moore",http://books.google.com/books/content?id=vCr0PQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
